term_id,term,aliases,what_text,where_text,question_examples
G01,規定値,規定のトルク||決められた値||規定,規定値は、この工程でこの部品をどう締めるかを、あらかじめ決めてある数字です。,作業指示書の締付条件の欄か、その部品の図面に書いてあります。,"規定値って何ですか？||規定値というのが分からないです。"
G02,工程標準,標準||作業標準,工程標準は、その工程のやり方と条件をまとめた、工場で決めた手順書です。,作業場に備え付けの手順書か、生産管理の共有フォルダにあります。,"工程標準って何ですか？||工程標準はどこにありますか？"
G03,作業指示書,指示書||指図書,作業指示書は、今日その場所で何をどう作るかを指示した紙またはタブレットの表示です。,作業台の指示書ホルダーか、端末の作業画面に出ています。,"作業指示書ってどれですか？||指示書ってどこにあるやつですか？"
G04,呼び径,呼び||ねじの太さ||サイズ,呼び径は、ねじの太さを表す数字で、エムのあとに続く数字がそれです。,ねじが入っていた箱のラベルか、作業指示書の部品欄に書いてあります。,"呼び径って何ですか？||呼び径ってどこの寸法ですか？"
G05,ピッチ,ねじ山の間隔||山のピッチ,ピッチは、となり合うねじ山どうしの間隔です。同じ太さでも、この間隔が違うと組み合いません。,箱のラベルの表示か、部品の図面に書いてあります。,"ピッチって何ですか？||ピッチというのがよく分からないです。"
G06,並目,普通のピッチ||標準ピッチ,並目は、その太さで標準として決められている、いちばん普通のピッチのことです。,箱の表示にピッチの数字が付いていなければ、ふつう並目です。,"並目って何ですか？||並目と書いてあるのはどういう意味ですか？"
G07,細目,細かいピッチ,細目は、同じ太さで、並目よりねじ山の間隔を細かくしたものです。,箱の表示で、エムのあとの数字にピッチの数字が付いていれば細目です。,"細目って何ですか？||細目はどう見分けますか？"
G08,ねじの規格表示,規格表示||ねじの表示||表記,ねじの規格表示は、エムで始まる文字と数字で、太さとピッチを表したものです。,箱のラベルか、作業指示書の部品欄に書いてあります。,"規格表示って何ですか？||ねじの表示ってどれのことですか？"
G09,部品番号,品番||パーツナンバー||番号,部品番号は、そのねじ一種類ごとに決めてある、英数字の管理番号です。,ねじが入っていた箱のラベルか、作業指示書の部品欄にあります。,"部品番号って何ですか？||品番ってどこに書いてありますか？"
G10,強度区分,強度の区分||ボルトの強さ,強度区分は、そのボルトがどれだけの力に耐えるかを表す等級です。,ボルトの頭の面に、点をはさんだ数字として刻印されています。,"強度区分って何ですか？||強度区分はどこを見れば分かりますか？"
G11,刻印,頭の刻印||マーク||表示,刻印は、ボルトの頭に打ってある数字や記号のことです。,ボルトの頭を上から見ると、面に浮き出た文字が見えます。,"刻印って何ですか？||刻印ってどこにありますか？"
G12,締付トルク,トルク||締付けの強さ,締付トルクは、ねじを回すときにかける力の大きさで、ニュートンメートルという単位で表します。,作業指示書の締付条件の欄か、部品の図面に書いてあります。,"締付トルクって何ですか？||トルクというのが分からないです。"
G13,軸力,締付軸力||ねじが引っ張る力,軸力は、締めたねじが部品どうしを引き付けている力です。トルクをかけた結果として生まれます。,軸力は直接は見えません。工程標準で決めたトルクで管理します。,"軸力って何ですか？||軸力はどこで測るんですか？"
G14,潤滑状態,潤滑||表面の状態||油の有無,潤滑状態は、ねじや締める面に油やグリスが付いているかどうかのことです。,ねじの表面を見て、濡れて光っているか、乾いているかで判断します。,"潤滑状態って何ですか？||潤滑状態ってどう見るんですか？"
G15,相手材,締付け先||締める相手||母材,相手材は、ねじを締め込む側の部品と、その材質のことです。,締めようとしている部品そのものです。材質は図面か部品表にあります。,"相手材って何ですか？||相手材ってどっちのことですか？"
G16,座金,ワッシャー||平座金,座金は、ねじの頭と部品のあいだに入れる、薄い輪の部品です。,ねじの頭の下を見ると、輪が挟まっているかどうか分かります。,"座金って何ですか？||座金ってどれのことですか？"
G17,下穴,したあな||パイロット穴,下穴は、ねじを入れる前にあけておく穴です。ここにねじ山を作るか、タップを立てます。,図面の穴の指示か、加工基準の表に径が書いてあります。,"下穴って何ですか？||下穴の径はどこに書いてありますか？"
G18,めねじ,ねじ穴||内側のねじ,めねじは、穴の内側に切ってあるねじ山のことです。ボルト側のねじ山と組み合います。,部品の穴の内側をのぞくと、らせん状の山が見えます。,"めねじって何ですか？||めねじってどこですか？"
G19,タッピンねじ,タッピン||タッピングねじ,タッピンねじは、下穴に自分でねじ山を作りながら締まっていくねじです。先が細くとがっています。,ねじの先端を見て、とがっていればタッピンねじです。,"タッピンねじって何ですか？||タッピンねじはどう見分けますか？"
G20,小ねじ,こねじ||機械ねじ,小ねじは、すでにねじ山が切ってある穴やナットに使うねじです。先は平らです。,ねじの先端を見て、平らに切れていれば小ねじです。,"小ねじって何ですか？||小ねじとどう違うんですか？"
G21,かじり,焼き付き||固着,かじりは、ねじと相手の金属がこすれて溶けるようにくっつき、回らなくなる状態です。,途中で急に固くなって動かなくなったら、かじりを疑います。,"かじりって何ですか？||かじりってどういう状態ですか？"
G22,引抜強度,抜ける強さ||保持力,引抜強度は、締めたねじが相手材から抜けずに耐えられる力の大きさです。,下穴の径と、ねじがかんでいる深さで決まります。加工基準を確認します。,"引抜強度って何ですか？||引抜強度って何の強さですか？"
G23,再使用基準,再使用の基準||使い回しの基準,再使用基準は、一度外したねじをもう一度使ってよいかを決めた、工場のきまりです。,工程標準の中か、その部品の図面の注記にあります。,"再使用基準って何ですか？||再使用基準はどこを見ますか？"
G24,板厚,厚さ||材料の厚み,板厚は、ねじを締め込む相手の板の厚さです。,図面の断面の寸法か、作業指示書の材料欄に書いてあります。,"板厚って何ですか？||板厚ってどこの寸法ですか？"
G25,工程,設備||ライン||工程名,工程は、この作業がどのラインのどの設備で行われているかを表す区分です。,設備に貼ってある銘板か、作業指示書の先頭に工程名が書いてあります。,"工程って何ですか？||工程名ってどこに書いてありますか？"
G26,駆動部形状,頭部形状||頭の形||工具を当てる形,駆動部形状は、ねじを回すときに工具を当てる部分の形です。六角の穴、外側が六角、十字などがあります。,ねじの頭を上から見ると、穴の形か外側の形で分かります。,"駆動部形状って何ですか？||頭部形状ってどこのことですか？"
G27,ねじの種類,ねじの種別||種類,ねじの種類は、小ねじかタッピンねじかといった、使い方による区分です。,ねじの先端の形と、箱のラベルの品名で分かります。,"ねじの種類って何ですか？||種類って何を答えればいいですか？"
G28,症状,起きていること||状態,症状は、今ねじがどうなっているか、実際に起きていることです。,手元のねじを回してみて、どう動くかをそのまま伝えてください。,"症状って何ですか？||症状って何を言えばいいですか？"
