knowledge_id,category,title,intent,required_slots,slot_values,answer_mode,answer_text,caution_text,question_examples,source_title,source_url,match_keywords
K01,pitch,M3 coarse pitch,pitch_lookup,nominal_diameter,nominal_diameter=M3,answer,The coarse pitch of M3 is 0.5 millimeters.,Confirm the thread standard and that the thread is coarse.,"What is the coarse pitch of M3?||How far apart are the threads on an M3?",NBK socket head cap screw dimensions,https://www.nbk1560.com/images/ja-JP/product/highintensity/SNS-J/SNS-J_1.pdf,pitch||coarse||thread spacing
K02,pitch,M4 coarse pitch,pitch_lookup,nominal_diameter,nominal_diameter=M4,answer,The coarse pitch of M4 is 0.7 millimeters.,Confirm the thread standard and that the thread is coarse.,"What is the coarse pitch of M4?||How far apart are the threads on an M4?",NBK socket head cap screw dimensions,https://www.nbk1560.com/images/ja-JP/product/highintensity/SNS-J/SNS-J_1.pdf,pitch||coarse||thread spacing
K03,pitch,M5 coarse pitch,pitch_lookup,nominal_diameter,nominal_diameter=M5,answer,The coarse pitch of M5 is 0.8 millimeters.,Confirm the thread standard and that the thread is coarse.,"What is the coarse pitch of M5?||How far apart are the threads on an M5?",NBK socket head cap screw dimensions,https://www.nbk1560.com/images/ja-JP/product/highintensity/SNS-J/SNS-J_1.pdf,pitch||coarse||thread spacing
K04,pitch,M6 coarse pitch,pitch_lookup,nominal_diameter,nominal_diameter=M6,answer,The coarse pitch of M6 is 1.0 millimeters.,Confirm the thread standard and that the thread is coarse.,"What is the coarse pitch of M6?||How far apart are the threads on an M6?",NBK socket head cap screw dimensions,https://www.nbk1560.com/images/ja-JP/product/highintensity/SNS-J/SNS-J_1.pdf,pitch||coarse||thread spacing
K05,pitch,M8 coarse pitch,pitch_lookup,nominal_diameter,nominal_diameter=M8,answer,The coarse pitch of M8 is 1.25 millimeters.,Confirm the thread standard and that the thread is coarse.,"What is the coarse pitch of M8?||How far apart are the threads on an M8?",NBK socket head cap screw dimensions,https://www.nbk1560.com/images/ja-JP/product/highintensity/SNS-J/SNS-J_1.pdf,pitch||coarse||thread spacing
K06,pitch,M10 coarse pitch,pitch_lookup,nominal_diameter,nominal_diameter=M10,answer,The coarse pitch of M10 is 1.5 millimeters.,Confirm the thread standard and that the thread is coarse.,"What is the coarse pitch of M10?||How far apart are the threads on an M10?",NBK socket head cap screw dimensions,https://www.nbk1560.com/images/ja-JP/product/highintensity/SNS-J/SNS-J_1.pdf,pitch||coarse||thread spacing
K07,pitch,M12 coarse pitch,pitch_lookup,nominal_diameter,nominal_diameter=M12,answer,The coarse pitch of M12 is 1.75 millimeters.,Confirm the thread standard and that the thread is coarse.,"What is the coarse pitch of M12?||How far apart are the threads on an M12?",NBK socket head cap screw dimensions,https://www.nbk1560.com/images/ja-JP/product/highintensity/SNS-J/SNS-J_1.pdf,pitch||coarse||thread spacing
K08,pitch,Meaning of M8 by 1,pitch_designation,thread_designation,thread_designation=M8x1,answer,M8 by 1 means a metric thread with a nominal diameter of 8 millimeters and a pitch of 1 millimeter.,That is different from the M8 coarse pitch of 1.25 millimeters.,"What does M8 by 1 mean?||Is M8 by 1 the same as a normal M8?",ISO 898-1:2013,https://www.iso.org/standard/60610.html,m8x1||m8 by 1||designation||what does||mean
K09,identification,Same diameter but different pitch,thread_compatibility,nominal_diameter|pitch,nominal_diameter=M8|pitch=1.0 and 1.25 millimeters,answer,Do not combine screws that share a nominal diameter but have different pitches.,Forcing them together can damage the threads.,"Will an M8 fit even if the pitch is different?||Can I mix the M8 1.0 and the 1.25?",ISO 261:1998,https://www.iso.org/standard/4165.html,fit||mix||combine||different pitch||pitch is different||same diameter||will it go in||interchange
K10,identification,Metric versus inch threads,thread_system_compatibility,thread_designation,thread_designation=metric and inch threads,answer,Do not treat metric and inch threads as interchangeable even when the diameters look close.,Check the standard and the pitch and do not force the screw in.,"Can I use an inch screw that is close in diameter?||Do metric and inch threads match?",NBK inch screws,https://www.nbk1560.com/products/specialscrew/nedzicom/inchscrew/,inch||imperial||metric||interchangeable||substitute
K11,identification,Machine screw versus tapping screw,screw_type_difference,screw_type,screw_type=machine screw and tapping screw,answer,A machine screw goes into an existing tapped hole or nut. A tapping screw forms its own thread in a pilot hole.,Confirm the pilot hole and mating material that suit the screw type.,"What is the difference between a machine screw and a tapping screw?||Can I use this tapping screw in a normal nut?",Nitto Seiko screw basics,https://www.nittoseiko.co.jp/nitto-blog/2017/08/09/4,machine screw||tapping screw||difference||which screw||screw type
K12,identification,Tool for a socket head cap screw,tool_selection,drive_type,drive_type=hex socket,answer,A socket head cap screw takes a hex key or hex bit of the matching size.,Confirm the tool size against the part specification.,"What tool turns this socket head cap screw?||Which driver do I use on a hex socket head?",NBK about socket head cap screws,https://static.nbk1560.com/resources/specialscrew/article/socketheadcapscrew-about/,hex key||allen||hex bit||socket head||what tool||which tool||driver
K13,identification,Choosing a socket for a bolt,tool_size_selection,drive_type|nominal_diameter,drive_type=external hex|nominal_diameter=M8,answer,Choose a socket that matches the across flats size of the bolt head and the drive square of the torque tool.,Do not decide the tool size from the nominal diameter alone. Check the part specification.,"How do I pick the socket size?||Which socket should I use on this bolt?",Tohnichi across flats and drive square,https://www.tohnichi.co.jp/product/socket/index.html,socket||across flats||wrench size||spanner||which socket
K14,identification,Strength grade from the head marking,head_marking,head_marking,head_marking=8.8,answer,A head marking such as 8.8 is the clue for identifying the strength grade of a steel bolt.,"If there is no marking or it cannot be read, check the part number or the work order.","What does the number on the bolt head mean?||How do I read the head marking?",Sunco JIS guide,https://www.sunco.co.jp/street/pdf/JISGuide.pdf,head marking||stamped||8.8||10.9||strength grade||number on the head
K15,torque,Maximum tightening torque of SSH-M3-SD-EL,product_torque,part_number|nominal_diameter,part_number=SSH-M3-SD-EL|nominal_diameter=M3,answer,The maximum tightening torque of the NBK SSH-M3-SD-EL is 0.7 newton meters.,This value is the manufacturer specification for that part and must not be reused for other parts.,"What is the maximum torque for SSH-M3-SD-EL?||How tight do I do up the SSH-M3-SD-EL?",NBK SSH-SD-EL product specification,https://www.nbk1560.com/images/ja-JP/product/ornament/SSH-SD-EL/SSH-SD-EL_1.pdf,ssh-m3-sd-el||ssh m3 sd el
