term_id,term,aliases,what_text,where_text,question_examples
G01,specified value,specified torque||the specified figure||spec value,The specified value is the figure decided in advance for how this part is tightened in this process.,It is in the tightening condition column of the work order or on the drawing for that part.,"What is a specified value?||What do you mean by the specified value?"
G02,process standard,work standard||standard procedure,The process standard is the document the factory has agreed that sets out the method and conditions for that process.,It is in the procedure folder at the workstation or in the production shared folder.,"What is the process standard?||Where is the process standard?"
G03,work order,job sheet||work instruction,The work order is the sheet or tablet display that tells you what is being built here today and how.,It is in the holder at the bench or on the job screen of the terminal.,"Which one is the work order?||Where is the work order?"
G04,nominal diameter,nominal size||screw size||how thick,The nominal diameter is the figure for the thickness of the screw. It is the number after the letter M.,It is on the label of the box the screws came in or in the parts column of the work order.,"What is the nominal diameter?||Which dimension is the nominal diameter?"
G05,pitch,thread spacing||spacing of the threads,The pitch is the spacing between neighbouring threads. Two screws of the same thickness will not mate if this spacing differs.,It is on the box label or on the drawing for the part.,"What is pitch?||I do not follow what pitch means."
G06,coarse thread,coarse||normal pitch||standard pitch,A coarse thread is the ordinary pitch that is set as standard for that thickness.,If the box marking carries no pitch figure it is normally coarse.,"What does coarse mean?||What does it mean when it says coarse?"
G07,fine thread,fine||fine pitch,A fine thread has the same thickness but the threads are spaced more closely than a coarse thread.,On the box marking a pitch figure after the M number means it is fine.,"What is a fine thread?||How do I tell a fine thread?"
G08,thread designation,designation||the marking on the screw||the code,The thread designation is the letter M with numbers that gives the thickness and the pitch.,It is on the box label or in the parts column of the work order.,"What is the thread designation?||Which bit is the thread designation?"
G09,part number,part no||parts number||the number,The part number is the alphanumeric code assigned to that one kind of screw.,It is on the label of the box the screws came in or in the parts column of the work order.,"What is a part number?||Where is the part number written?"
G10,strength grade,grade||strength class||how strong the bolt is,The strength grade is the class that tells you how much load that bolt will take.,It is stamped on the face of the bolt head as numbers separated by a dot.,"What is the strength grade?||Where do I look for the strength grade?"
G11,head marking,marking||stamp||the mark on the head,The head marking is the numbers or symbols stamped on the head of the bolt.,Look down at the head of the bolt and you will see the raised characters on the face.,"What is a head marking?||Where is the head marking?"
G12,tightening torque,torque||how tight,The tightening torque is how much turning force you apply to the screw. It is measured in newton meters.,It is in the tightening condition column of the work order or on the drawing for the part.,"What is tightening torque?||I do not know what torque means."
G13,clamp load,axial force||the force pulling the parts together,The clamp load is the force with which the tightened screw pulls the parts together. It results from the torque you apply.,You cannot see the clamp load directly. It is controlled through the torque set in the process standard.,"What is clamp load?||Where do I measure clamp load?"
G14,lubrication,lubricated||surface condition||oil or not,Lubrication means whether there is oil or grease on the screw and on the faces being clamped.,Look at the surface of the screw and judge whether it is wet and shiny or dry.,"What does lubrication mean?||How do I judge the lubrication?"
G15,mating material,what you screw into||the part being clamped||base material,The mating material is the part the screw is driven into and what that part is made of.,It is the part you are about to fasten. The material is on the drawing or the parts list.,"What is the mating material?||Which one is the mating material?"
G16,washer,plain washer||flat washer,A washer is the thin ring that goes between the head of the screw and the part.,Look under the head of the screw and you can see whether a ring is fitted.,"What is a washer?||Which part is the washer?"
G17,pilot hole,lead hole||predrilled hole,A pilot hole is the hole drilled before the screw goes in. The thread is either formed in it or cut with a tap.,The diameter is in the hole note on the drawing or in the machining standard table.,"What is a pilot hole?||Where is the pilot hole size written?"
G18,tapped hole,female thread||the thread inside the hole,A tapped hole is the thread cut on the inside of a hole. It mates with the thread on the bolt.,Look into the hole in the part and you can see the spiral ridges.,"What is a tapped hole?||Where is the tapped hole?"
G19,tapping screw,tapping||self tapping screw,A tapping screw forms its own thread as it drives into a pilot hole. The tip is narrow and pointed.,Look at the tip of the screw. If it is pointed it is a tapping screw.,"What is a tapping screw?||How do I tell a tapping screw?"
G20,machine screw,machine screws||metal thread screw,A machine screw goes into a hole or nut that is already threaded. Its tip is flat.,Look at the tip of the screw. If it is cut off flat it is a machine screw.,"What is a machine screw?||How is that different from a machine screw?"
G21,galling,seizing||cold welding||pick up,Galling is when the screw and the mating metal rub and effectively weld together so the screw stops turning.,"If it suddenly goes stiff and stops moving partway in, suspect galling.","What is galling?||What sort of state is galling?"
G22,pull out strength,holding power||how well it holds,The pull out strength is how much force the tightened screw will take before it pulls out of the mating material.,It is set by the pilot hole diameter and how deep the thread engages. Check the machining standard.,"What is pull out strength?||Strength against what?"
G23,reuse criteria,reuse rule||criteria for using it again,The reuse criteria are the factory rule for whether a screw that has been removed may be fitted again.,It is inside the process standard or in the notes on the drawing for that part.,"What are the reuse criteria?||Where do I find the reuse criteria?"
G24,plate thickness,thickness||material thickness,The plate thickness is the thickness of the plate the screw is driven into.,It is the section dimension on the drawing or in the material column of the work order.,"What is plate thickness?||Which dimension is the plate thickness?"
G25,process,line||station||process name,The process is the label for which line and which piece of equipment this work happens on.,It is on the plate attached to the machine or at the top of the work order.,"What do you mean by process?||Where is the process name written?"
G26,drive type,head shape||shape of the head||where the tool goes,"The drive type is the shape of the part you put the tool into. It can be a hex socket, an external hex, a cross and so on.",Look down at the head of the screw and you can tell from the socket shape or the outer shape.,"What is the drive type?||Which part is the head shape?"
G27,screw type,type of screw||kind of screw,"The screw type is the division by how it is used, such as a machine screw or a tapping screw.",You can tell from the shape of the tip and from the product name on the box label.,"What do you mean by screw type?||What should I say for the type?"
G28,symptom,what is happening||the state it is in,The symptom is what is actually happening to the screw right now.,Turn the screw in your hand and describe how it moves.,"What do you mean by symptom?||What should I tell you about the symptom?"
