knowledge_id,category,title,intent,required_slots,slot_values,answer_mode,answer_text,caution_text,question_examples,source_title,source_url
K01,pitch,M3並目のピッチ,pitch_lookup,nominal_diameter,nominal_diameter=M3,answer,M3の並目ピッチは0.5ミリです。,ねじ規格と並目であることを確認してください。,"M3の並目ピッチは何ミリですか？||エムスリーの普通のピッチを教えてください。",NBK六角穴付きボルト寸法表,https://www.nbk1560.com/images/ja-JP/product/highintensity/SNS-J/SNS-J_1.pdf
K02,pitch,M4並目のピッチ,pitch_lookup,nominal_diameter,nominal_diameter=M4,answer,M4の並目ピッチは0.7ミリです。,ねじ規格と並目であることを確認してください。,"M4の並目ピッチは何ミリですか？||エムヨンの普通のピッチを教えてください。",NBK六角穴付きボルト寸法表,https://www.nbk1560.com/images/ja-JP/product/highintensity/SNS-J/SNS-J_1.pdf
K03,pitch,M5並目のピッチ,pitch_lookup,nominal_diameter,nominal_diameter=M5,answer,M5の並目ピッチは0.8ミリです。,ねじ規格と並目であることを確認してください。,"M5の並目ピッチは何ミリですか？||エムゴの普通のピッチを教えてください。",NBK六角穴付きボルト寸法表,https://www.nbk1560.com/images/ja-JP/product/highintensity/SNS-J/SNS-J_1.pdf
K04,pitch,M6並目のピッチ,pitch_lookup,nominal_diameter,nominal_diameter=M6,answer,M6の並目ピッチは1.0ミリです。,ねじ規格と並目であることを確認してください。,"M6の並目ピッチは何ミリですか？||エムロクの普通のピッチを教えてください。",NBK六角穴付きボルト寸法表,https://www.nbk1560.com/images/ja-JP/product/highintensity/SNS-J/SNS-J_1.pdf
K05,pitch,M8並目のピッチ,pitch_lookup,nominal_diameter,nominal_diameter=M8,answer,M8の並目ピッチは1.25ミリです。,ねじ規格と並目であることを確認してください。,"M8の並目ピッチは何ミリですか？||エムハチの普通のピッチを教えてください。",NBK六角穴付きボルト寸法表,https://www.nbk1560.com/images/ja-JP/product/highintensity/SNS-J/SNS-J_1.pdf
K06,pitch,M10並目のピッチ,pitch_lookup,nominal_diameter,nominal_diameter=M10,answer,M10の並目ピッチは1.5ミリです。,ねじ規格と並目であることを確認してください。,"M10の並目ピッチは何ミリですか？||エムジュウの普通のピッチを教えてください。",NBK六角穴付きボルト寸法表,https://www.nbk1560.com/images/ja-JP/product/highintensity/SNS-J/SNS-J_1.pdf
K07,pitch,M12並目のピッチ,pitch_lookup,nominal_diameter,nominal_diameter=M12,answer,M12の並目ピッチは1.75ミリです。,ねじ規格と並目であることを確認してください。,"M12の並目ピッチは何ミリですか？||エムジュウニの普通のピッチを教えてください。",NBK六角穴付きボルト寸法表,https://www.nbk1560.com/images/ja-JP/product/highintensity/SNS-J/SNS-J_1.pdf
K08,pitch,M8かける1の意味,pitch_designation,thread_designation,thread_designation=M8×1,answer,M8かける1は、呼び径8ミリ、ピッチ1ミリのメートルねじを表します。,M8並目のピッチ1.25ミリとは異なります。,"M8かける1ってどういう意味ですか？||M8×1は普通のM8と同じですか？",ISO 898-1:2013,https://www.iso.org/standard/60610.html
K09,identification,呼び径が同じでピッチが違うねじの適合,thread_compatibility,nominal_diameter|pitch,nominal_diameter=M8|pitch=1.0ミリと1.25ミリ,answer,呼び径が同じでも、ピッチが違うねじ同士は組み合わせないでください。,無理にねじ込むとねじ山を損傷するおそれがあります。,"M8ならピッチが違っても入りますか？||M8の1.0と1.25は組み合わせられますか？",ISO 261:1998,https://www.iso.org/standard/4165.html
K10,identification,メートルねじとインチねじの適合,thread_system_compatibility,thread_designation,thread_designation=メートルねじとインチねじ,answer,メートルねじとインチねじは、径が近く見えても互換と判断しないでください。,規格とピッチを確認し、無理にねじ込まないでください。,"径が近いインチねじをMねじに使えますか？||ミリねじとインチねじは合いますか？",NBKインチねじ,https://www.nbk1560.com/products/specialscrew/nedzicom/inchscrew/
K11,identification,小ねじとタッピンねじの違い,screw_type_difference,screw_type,screw_type=小ねじとタッピンねじ,answer,小ねじは加工済みのめねじやナットに使い、タッピンねじは下穴にねじ山を作りながら締結します。,ねじ種類に合った下穴と相手材を確認してください。,"小ねじとタッピンねじは何が違いますか？||このタッピンねじを普通のナットに使いますか？",日東精工ねじの知識,https://www.nittoseiko.co.jp/nitto-blog/2017/08/09/4
K12,identification,六角穴付きボルトの工具,tool_selection,drive_type,drive_type=六角穴,answer,六角穴付きボルトには、適合するサイズの六角レンチまたは六角ビットを使用します。,工具サイズは部品仕様で確認してください。,"六角穴付きボルトは何で回しますか？||頭に六角の穴があるねじの工具は？",NBK六角穴付きボルトとは,https://static.nbk1560.com/resources/specialscrew/article/socketheadcapscrew-about/
K13,identification,ボルト用ソケットの選び方,tool_size_selection,drive_type|nominal_diameter,drive_type=外側が六角|nominal_diameter=M8,answer,ソケットは、ボルト頭部の二面幅とトルク工具の差込角に適合するものを選びます。,呼び径だけで工具サイズを断定せず、部品仕様を確認してください。,"M8ならどのソケットを使いますか？||ボルトに合うソケットはどう選びますか？",東日ボルトの二面幅と差込角,https://www.tohnichi.co.jp/product/socket/index.html
K14,identification,頭部刻印による強度区分の確認,head_marking,head_marking,head_marking=8.8,answer,頭部の8.8のような表示は、鋼製ボルトの強度区分を確認する手掛かりになります。,刻印がない場合や読めない場合は、部品番号や作業指示書を確認してください。,"ボルトの頭の8.8は何ですか？||頭に書いてある数字は強さですか？",サンコーJISガイド,https://www.sunco.co.jp/street/pdf/JISGuide.pdf
K15,torque,SSH-M3-SD-ELの最大締付トルク,product_torque,part_number|nominal_diameter,part_number=SSH-M3-SD-EL|nominal_diameter=M3,answer,NBKのSSH-M3-SD-ELの最大締めつけトルクは0.7ニュートンメートルです。,この値は当該製品のメーカー仕様であり、別製品には流用しないでください。,"SSH-M3-SD-ELの最大トルクは？||このNBKのM3低頭ねじはどこまで締められますか？",NBK SSH-SD-EL製品仕様,https://www.nbk1560.com/images/ja-JP/product/ornament/SSH-SD-EL/SSH-SD-EL_1.pdf
K16,torque,SSH-M4-SD-ELの最大締付トルク,product_torque,part_number|nominal_diameter,part_number=SSH-M4-SD-EL|nominal_diameter=M4,answer,NBKのSSH-M4-SD-ELの最大締めつけトルクは1.7ニュートンメートルです。,この値は当該製品のメーカー仕様であり、別製品には流用しないでください。,"SSH-M4-SD-ELの最大トルクは？||このNBKのM4低頭ねじはどこまで締められますか？",NBK SSH-SD-EL製品仕様,https://www.nbk1560.com/images/ja-JP/product/ornament/SSH-SD-EL/SSH-SD-EL_1.pdf
K17,torque,SSH-M8-SD-ELの最大締付トルク,product_torque,part_number|nominal_diameter,part_number=SSH-M8-SD-EL|nominal_diameter=M8,answer,NBKのSSH-M8-SD-ELの最大締めつけトルクは14ニュートンメートルです。,この値は当該製品のメーカー仕様であり、別製品には流用しないでください。,"SSH-M8-SD-ELの最大トルクは？||このNBKのM8低頭ねじはどこまで締められますか？",NBK SSH-SD-EL製品仕様,https://www.nbk1560.com/images/ja-JP/product/ornament/SSH-SD-EL/SSH-SD-EL_1.pdf
K18,torque,SSH-M10-SD-ELの最大締付トルク,product_torque,part_number|nominal_diameter,part_number=SSH-M10-SD-EL|nominal_diameter=M10,answer,NBKのSSH-M10-SD-ELの最大締めつけトルクは27ニュートンメートルです。,この値は当該製品のメーカー仕様であり、別製品には流用しないでください。,"SSH-M10-SD-ELの最大トルクは？||このNBKのM10低頭ねじはどこまで締められますか？",NBK SSH-SD-EL製品仕様,https://www.nbk1560.com/images/ja-JP/product/ornament/SSH-SD-EL/SSH-SD-EL_1.pdf
K19,torque,潤滑状態と締付け軸力,torque_lubrication,lubrication,lubrication=油あり,answer,油やグリスの有無で摩擦条件が変わるため、乾燥時のトルクをそのまま使わないでください。,工程標準または当該部品の規定値を確認してください。,"油が付いていても同じトルクでいいですか？||乾燥時の値をグリス付きで使えますか？",東日ねじ締付け技術資料,https://www.tohnichi.co.jp/download_services/download?category=download&fid=12&filetype=1&subid=5
K20,torque,相手材と締付条件,torque_mating_material,mating_material,mating_material=アルミ,answer,相手材がアルミや樹脂の場合は、鋼材と同じ締付条件をそのまま使わないでください。,相手材を含む工程標準を確認してください。,"アルミ相手でも鋼と同じトルクですか？||樹脂に締めるときも強く締めていいですか？",日東精工ねじ締結について,https://www.nittoseiko.co.jp/nitto-blog/2017/08/01/3
K21,torque,座金と座面条件,torque_washer,washer,washer=平座金あり,answer,座金の有無や座面形状は摩擦条件に関係するため、指定された組合せで締め付けてください。,座金を勝手に追加または取り外さないでください。,"ワッシャーを入れても同じトルクですか？||座金なしの値を座金ありで使えますか？",東日締付け工具選定基準,https://www.tohnichi.co.jp/products/download/service_file/24
K22,torque,呼び径だけの締付トルク照会,generic_torque,process_id|part_number|head_marking|lubrication,process_id=工程不明|part_number=部品番号不明|head_marking=8.8|lubrication=乾燥,escalate,呼び径だけでは規定締付トルクを特定できません。,工程、部品、刻印、表面状態を特定できない場合は締付けを進めないでください。,"M8の締付トルクは？||このボルト、何ニュートンで締めればいいですか？",ISO 898-1:2013,https://www.iso.org/standard/60610.html
K23,pilot_hole,タップ加工の下穴条件,tap_drill_condition,nominal_diameter|pitch,nominal_diameter=M8|pitch=1.25ミリ,answer,タップ加工の下穴を決めるには、ねじの呼び径とピッチを確認してください。,加工方法と相手材を含む社内加工基準を優先してください。,"タップの下穴はサイズだけで決まりますか？||M8の下穴を決めるには何が必要ですか？",ISO 724:2023,https://www.iso.org/standard/85104.html
K24,pilot_hole,タッピンねじの下穴条件,tapping_pilot_condition,screw_type|mating_material|plate_thickness,screw_type=タッピンねじ|mating_material=アルミ|plate_thickness=2ミリ,answer,タッピンねじの下穴は、ねじ種類、相手材、板厚やかみ合い長さを確認して決めます。,メーカーの目安条件表または工程標準を確認してください。,"タッピンねじの下穴は何で決まりますか？||アルミ板のタッピン下穴を決めたいです。",日東精工ねじの知識,https://www.nittoseiko.co.jp/nitto-blog/2017/08/09/4
K25,pilot_hole,タッピンねじの下穴が大きすぎる場合,pilot_too_large,screw_type|symptom,screw_type=タッピンねじ|symptom=下穴が大きい,answer,タッピンねじの下穴が大きすぎると、引抜強度の低下や緩みにつながる可能性があります。,規定外の下穴では作業を進めず、加工基準を確認してください。,"タッピンの下穴が少し大きくても大丈夫ですか？||下穴を大きくすると何が起きますか？",日東精工ねじの知識,https://www.nittoseiko.co.jp/nitto-blog/2017/08/09/4
K26,pilot_hole,タッピンねじの下穴が小さすぎる場合,pilot_too_small,screw_type|symptom,screw_type=タッピンねじ|symptom=下穴が小さい,answer,タッピンねじの下穴が小さすぎると、ねじ込みトルクが高くなり、作業不良につながる可能性があります。,無理にねじ込まず、加工基準を確認してください。,"タッピンの下穴が小さいとどうなりますか？||固いけどそのままねじ込んでいいですか？",日東精工ねじの知識,https://www.nittoseiko.co.jp/nitto-blog/2017/08/09/4
K27,trouble,ねじ込み初期から異常に固い,early_resistance,symptom|pitch,symptom=ねじ込み初期から固い|pitch=不明,stop,いったん作業を止めてください。ピッチ違い、斜め締め、異物の可能性があります。,無理に締め込まず、ねじとめねじの状態を確認してください。,"最初から固いけど、そのまま締めていいですか？||途中まで入らないねじを力で回していいですか？",東日締付け不良の特性要因,https://www.tohnichi.co.jp/products/download/service_file/20
K28,trouble,ステンレスねじのかじり,seizing,symptom|screw_type,symptom=急に固着して動かない|screw_type=ステンレスねじ,stop,いったん作業を止めてください。ステンレスねじのかじり、または焼き付きの可能性があります。,無理に回さず、責任者へ連絡してください。,"ステンレスねじが急に動かなくなりました。||ねじが焼き付いたみたいで回りません。",NBKかじりについて,https://static.nbk1560.com/resources/specialscrew/article/nedzicom-topics-01-seizing/
